haplogroup	example_accession_1	example_accession_2
T2e1a1b1	JN030346	KM007555
T2e1b	KF048033	
T2e1b1	KF577586	EF556188
T2e2	AY714029	
T2e2a	JQ798114	EF060363
T2e5	JQ702891	JQ701985
T2e6	JQ798118	JQ798119
T2e_T152C!	JQ702210	
T2e7	JQ798110	JX153029
T2m	KC911558	KC911342
T2_T16189C!	JQ798135	HM852766
T2f	JQ703997	JQ704129
T2f1	JQ798120	
T2f1a	JQ704807	GU123028
T2f1a1	GU932663	JQ798122
T2f2	JQ798125	HQ286590
T2f3	JF960209	JQ704426
T2f4	JQ705528	JN034044
T2f5	JQ702957	JQ702294
T2f6	JN084792	
T2f7	JX153995	
T2f7a	JQ619780	KF322082
T2f8	JX153048	
T2f8a	JX153682	JX152786
T2g1a	EU935442	HE576983
T2g1a1	EF556186	JQ703123
T2g1b	KC911398	JQ798126
T2g2	HM625693	
T2g2a	JQ702710	JQ702108
T2h	JN037469	JQ798128
T2h1	JN202724	JQ705018
T2h2	JX153755	JQ702170
T2i	JQ798129	
T2i1	JQ704055	JQ798130
T2i2	JQ798131	KC911499
T2j	JQ704786	
T2j1	EF177442	HQ877824
T2k	JQ705690	HM852810
T2l	KC127675	JQ798137
T2n	KC911608	KC911397
T3	JX462725	
R5	AY713998	
R5a1	FJ004837	
R5a1a	FJ004822	AY713983
R5a2	AY713993	
R5a2a	AY713985	AY713996
R5a2b	FJ004815	FJ004814
R5a2b1	AY713991	AY714000
R5a2b2	AY714002	FJ004829
R5a2b3	FJ004833	FJ004812
R5a2b4	FJ004834	FJ004828
R6_G16129A!	AY714028	JF742197
R6a1	FJ004819	GU480018
R6a2	JQ704804	GU480008
R6b	AY713994	JX289095
R7a	AY714030	JX462727
R7a1	FJ004835	FJ004805
R7a1a	FJ004823	EU597487
R7a1b1	FJ004831	FJ004813
R7a1b2	FJ004804	FJ004810
R7b1	FJ004817	
R7b1a	AY714024	
R7b1a1	FJ004811	FJ004821
R7b2	GU170816	GU170819
R8a1a	FJ467953	JX462723
R8a1a1	FJ467965	FJ004808
R8a1a1a1	AY714012	GU810073
R8a1a1a1a	FJ467978	KC911621
R8a1a1a2	FJ467943	JF742196
R8a1a1b	FJ467949	FJ467951
R8a1a1c	FJ467942	FJ467955
R8a1a1d	HM345949	FJ467947
R8a1a2	FJ467952	
R8a1a2a	FJ467971	FJ467974
R8a1a3	AY714011	FJ467984
R8a1_T16093C	FJ467972	
R8a1b	FJ467968	FJ467970
R8a2	FJ467946	FJ004836
R8b1	FJ467941	FJ467948
R8b1a	FJ467940	AY714009
R8b2	FJ467989	FJ467987
R9b	KC505122	
R9b1	KF849983	
R9b1a1	GU733737	
R9b1a1a	DQ981466	DQ981472
R9b1a2	KF541026	
R9b1a2a	DQ981471	FJ147308
R9b1a2b	JN580298	KF540702
R9b1a3	DQ981469	JF824932
R9b1b	DQ981470	EF114273
R9b2	GU810062	DQ981475
R9c	JN857032	
R9c1a	GQ119010	KC994068
R9c1a1	HQ700872	KF540867
R9c1a2	KF541011	KF540625
R9c1a3	JF739535	JF739539
R9c1b1	JX289135	HG00407
R9c1b2	KF540813	KC994001
F1a	NA17963	
F1a1	AP008906	AP008667
F1a1a	HM357817	AY255175
F1a1a1	AY963572	AY195791
F1a1b	AP008347	AP008279
F1a1c	NA18620	HM357820
F1a1c1	GU810005	GU810022
F1a1c2	AP008475	NA19078
F1a1c3	NA18606	NA18569
F1a1d	GQ119028	KF849953
F1a1d1	HM238209	HM238211
F1a4a	NA18132	
F1a4a1	KC994022	HM238204
F1a4b	JF824826	KC733251
F1a2	FJ748725	
F1a2a	KF849920	DQ272124
F1a3_T16311C	KF540917	
F1a3a	JF739536	KC993954
F1a3a1	KF540654	
F1a3a1a	AP008701	AP008679
F1a3a2	KC994062	HM238199
F1a3a3	KC994075	HM238205
F1a3a3a	KF540619	KF541018
F1a3b	NA17977	KF540845
F1c	AP010738	
F1c1	AP008616	
F1c1a1	AY255177	
F1c1a1a	KF056261	FJ748754
F1c1a1b	KF849932	HG00472
F1c1a2	FJ748720	JX462682
F1f	AP012346	JF824974
F1b1a	AP008498	NA19059
F1b1a1	AP008591	
F1b1a1a	AP008421	
F1b1a1a1	AP008919	AP010731
F1b1a1a1a	AP009474	AP008820
F1b1a1a2	AP010754	AP008490
F1b1a1a3	AP013115	AP008864
F1b1a2	AP008577	AP010975
F1b1b	DQ272125	HM852871
F1b1c	FJ198216	KF849982
F1b1_C152T	HM036531	HQ108344
F1b1d	AP013215	AP008446
F1b1e	HQ405768	
F1b1e1	KF148437	KF148087
F1b1f	KF148222	JF824901
F1d	AP008808	HG00530
F1d1	AP008328	NA18603
F1e1	HG00437	
F1e1a	AP008508	AP010837
F1e2	EU597547	GU392056
F1e3	KF849952	HG00442
F1g	JN133516	JF824890
F1g1	GU392087	FJ748713
F2a	AP008692	KF849969
F2a_T16291C	NA18598	
F2a1	AY255168	KF540771
F2b	AY255180	
F2b1	NA18790	JF824880
F2g	HM036555	KF849899
F2c	KF849911	
F2c1	JF824941	AP010683
F2c2	NA18583	NA18609
F2d	AP013247	GU392094
F2e	NA18629	
F2e1	JN857034	KF849967
F2f	AP013271	JF824818
F2h	GQ999958	FJ748736
F2i	KF849909	KF540840
F3a	AY255167	
F3a_G207A	JF824855	
F3a1	KF849966	NA18759
F3b	AP013180	
F3b_T152C	AY972053	
F3b1a_T16093C	KC994154	GQ119009
F3b1a1	KC993991	GQ119011
F3b1a2	GQ119015	KF540752
F3b1b	JF739538	
F3b1b1	KC994125	KC994009
F4a1a	AP008744	EU597565
F4a1b	AP013200	AF346973
F4a2	NA18691	JF824892
F4b	NA18592	
F4b1	AY289095	KF540575
R11	NA18763	
R11a	AP010998	DQ112788
R11b	JF824897	
R11b1a	JN857012	NA18555
R11b1b	AY255163	HG00536
B6a	AY255136	
B6a1	GQ119045	
B6a1a	JX289129	AP012415
B4'5	KC417443	HM030512
B4a	NA17990	
B4a1a	DQ372871	HM238202
B4a1a1	HQ873527	KJ154569
B4a1a1a	HQ873525	KJ154187
B4a1a1a1	JX900618	JX900565
B4a1a1a1a	JX900769	
B4a1a1a1a1	JX900376	JX900472
B4a1a1a1b	JX900604	JX900773
B4a1a1a1c	KJ154487	KJ154627
B4a1a1a1d	KJ154414	KJ154286
B4a1a1a2	JX900433	HQ873516
B4a1a1a2a	JX900535	JX900548
B4a1a1a2b	KJ154620	KJ154535
B4a1a1a3	JX900766	JX900480
B4a1a1a4	JX900408	HQ873490
B4a1a1a5	JX900578	JX900762
B4a1a1a6	JX900564	JX900841
B4a1a1a7	JX900343	JX900331
B4a1a1a8	JX900752	KJ154435
B4a1a1a9	JX900826	JX900819
B4a1a1a10	JX900412	JX900614
B4a1a1a11	JX900639	
B4a1a1a11a	HQ873524	JX900497
B4a1a1a11b	JX900344	KJ154230
B4a1a1a12	JX900373	JX900802
B4a1a1a13	JX900500	AY289093
B4a1a1a14	KJ154580	KJ154589
B4a1a1a15	KJ154242	KJ154315
B4a1a1a16	JX900734	KJ154328
B4a1a1a17	KJ154515	KJ154591
B4a1a1a18	KJ154415	KJ154356
B4a1a1a19	KJ154865	HQ873515
B4a1a1a20	KJ154207	KJ154294
B4a1a1a21	JX900558	KJ154218
B4a1a1a22	KJ154215	KJ154210
B4a1a1a_T195C!	JX900455	JX900848
B4a1a1a23	JX900644	KJ154480
B4a1a1b	FJ767912	FJ767910
B4a1a1c	KJ154275	KJ154368
B4a1a1d	JX900453	HQ873507
B4a1a1e	JX900634	JX900555
B4a1a1f	JX900410	JX900411
B4a1a1g	JX900722	JX900543
B4a1a1h	JX900348	JX900338
B4a1a1i	JX900622	JX900779
B4a1a1j	JX900692	JX900794
B4a1a1k	KJ154396	KJ154220
B4a1a1k1	KJ154221	KJ154190
B4a1a1_C151T	KJ154269	KJ154287
B4a1a1m	KJ154397	KJ154364
B4a1a1m1	AY289068	KJ154402
B4a1a1n	JX900810	KJ154312
B4a1a1_T152C!	HQ873531	AF347007
B4a1a1o	JX900738	JX900828
B4a1a1p	JX900384	JX900387
B4a1a1q	HQ873532	JX900508
B4a1a1_T16126C	KJ154410	KJ154226
B4a1a1s	KJ154474	KJ154645
B4a1a1t	KJ154214	KJ154367
B4a1a1u	KJ154439	KJ154259
B4a1a1v	KJ154288	KJ154257
B4a1a1w	KJ154872	KJ154864
B4a1a1x	KJ154158	DQ372877
B4a1a1y	JX900630	JX900846
B4a1a1z	KJ154929	KJ154925
B4a1a1aa	AY963574	KJ154629
B4a1a1ab	JX900575	KJ154209
B4a1a1ac	JX900514	KJ154307
B4a1a1ad	KJ154208	KJ154233
B4a1a1ae	HQ873511	HQ873509
B4a1a1af	KJ154891	KJ154884
B4a1a2	AJ842748	AJ842745
B4a1a3	HQ873558	
B4a1a3a	HQ873560	
B4a1a3a1	HQ873543	KC994063
B4a1a3a1a	AJ842744	KF540509
B4a1a4	KC994073	AJ842747
B4a1a5	GQ119021	HQ873542
B4a1a5a	KC994105	KC994064
B4a1a6	KC994047	KC994101
B4a1a6a	KC994027	KC994097
B4a1a7	HQ873557	KF540551
B4a1_T16311C	EU597506	
B4a1b	AP008595	
B4a1b1	AP008842	
B4a1b1a	AP008640	AF346993
B4a1e	JN866824	KF849945
B4a1c1	AP008650	
B4a1c1a	AP013242	JF824900
B4a1c1a1	AP008912	NA18975
B4a1c2	AY519495	AY519492
B4a1c4	EU597505	HQ873562
B4a1c5	HQ873564	KF540685
B4a1c3a	AP010705	AP008412
B4a1c3b	AP008521	KF849971
B4a1d	HQ873495	HQ873566
B4a2a	HQ873538	HM596696
B4a2a1	AJ842751	HM238207
B4a2a2	HQ873563	KF540572
B4a2a3	AJ842750	KF540774
B4a2b	NA18528	
B4a2b1	JF824854	KF849947
B4a2b1a	AP013280	AP008257
B4a3	FJ748745	AP008567
B4a4	AP008384	NA18794
B4a5	KF540699	KF540665
B4g1	JQ703874	
B4g1a	GU810060	HQ873489
B4g1b	NA18109	NA18770
B4g2	KF540983	HG00419
B4h	GU377090	
B4h1	KF849963	HQ873569
B4i	JF824906	
B4i1	KC733274	NA18541
B4k	KF849913	EU597559
B4m	KF540707	KF540708
B2	EU095548	EF079874
B2a	KC711022	KC711021
B2a1	DQ282442	KC711026
B2a1a	DQ282444	
B2a1a1	JQ702668	KC711024
B2a1b	DQ282445	KC711025
B2a2	DQ282441	KC711028
B2a3	HQ012136	KC711031
B2a4	JQ703852	
B2a4a	KC711033	
B2a4a1	KC711034	KC711035
B2a5	AF347001	KC711039
B2b	EU095532	
B2b_T152C!	HG01437	EU095210
B2b1	JF431064	
B2b2	KC503926	
B2b2a	KC503927	KC503925
B2b3	EU095221	
B2b3a	HG00640	EU095216
B2b4	HQ012137	EF657326
B2c	DQ282436	
B2c1	DQ282438	DQ282439
B2c1a	DQ282434	HQ012177
B2c1b	HQ012160	DQ282437
B2c1c	HQ012164	NA19731
B2c2	HQ012143	
B2c2a	HQ012140	HQ012158
B2c2b	HQ012151	JQ705349
B2d	EU095550	HG01494
B2e	EU597569	EU095209
B2f	EU334872	EF657347
B2g1	HQ012185	HQ012145
B2g2	KC257372	JQ702661
B2h	EU095206	EU095215
B2i1	EU095218	EU095217
B2i2	JX413035	
B2i2a	JX413013	JX413012
B2i2a1	JX413023	JX413022
B2i2a1a	JX413014	JX413019
B2i2a1b	JX413020	JX413021
B2i2b	JX413027	JX174728
B2i2b1	JX413032	JX413033
B2j	JF431059	JF431060
B2k	HQ012156	JF431061
B2l	JQ702293	NA19785
B2m	HQ012141	NA19761
B2n	HQ012163	NA19795
B2o	JQ703851	
B2o1	KC503933	
B2o1a	KC503931	KC503932
B2p	HQ012138	HQ012167
B2q	HQ012153	HQ012176
B2r	HQ012175	DQ282435
B2s	HQ012165	NA19780
B2t	NA19684	JQ705648
B2u	HQ012183	HQ012170
B2v	HQ012173	HQ012159
B2_C16278T!	HQ012172	
B2w	JQ705755	HQ012168
B2x	HQ012147	NA19681
B2y	EU597534	
B2y1	JQ705259	EU431084
B4b1a	AY519494	
B4b1a1	AP008325	AP010733
B4b1a1a	AP008848	AP009471
B4b1a1b	AP009444	AP013219
B4b1a1c	AP008900	AP013162
B4b1a2	KC993941	AP008856
B4b1a2a	AY255170	AP010671
B4b1a2b1	KC994146	GU733790
B4b1a2b2	KF540811	KF540644
B4b1a2c	GU733724	GU733744
B4b1a2d	GU733814	GU733825
B4b1a2e	JF824980	EU597553
B4b1a2f	KF540629	KF541024
B4b1a2g	KF540610	
B4b1a2g1	KF540608	KF540617
B4b1a2h	KF540519	KF540523
B4b1a2i	KJ154674	KJ154236
B4b1a3	NA18689	JN857022
B4b1a3a	KF148375	JN857043
B4b1b	AP008682	AP008550
B4b1c1	HQ873567	AP009450
B4b1c2	DQ272119	KF540671
B4d1	AY255135	GU392048
B4d1a	NA18117	JN857029
B4d2	AY255140	
B4d3	NA18619	
B4d3a	JF824975	
B4d3a1	AP010836	AP013142
B4d4	AP008492	AP013230
B4e	KC733253	AP008436
B4j	JN857017	
B4c1a	KC521454	
B4c1a1	NA18982	AP008603
B4c1a1a	AP008482	AP008540
B4c1a1a1	AP008298	
B4c1a1a1a	AP011003	AP008604
B4c1a1a2	AP008688	
B4c1a1b	AP008281	AP010696
B4c1a1c	AP010704	NA19088
B4c1a2	JN857019	
B4c1a2a	JN857031	JN857046
B4c1b	AP008570	
B4c1b1	AP008899	
B4c1b1a	AP008920	AP008393
B4c1b_A16335G	AP008472	
B4c1b2a	AY255149	
B4c1b2a1	GQ161177	EF429139
B4c1b2a2	HM596646	
B4c1b2a2a	KC994085	HM238214
B4c1b2a2b	KC994083	HM238200
B4c1b2b	NA18156	KF540737
B4c1b2c	NA18111	
B4c1b2c1	NA18778	AP013284
B4c1b2c2	KF540661	KF849975
B4c1c	AP009461	
B4c1c_T16311C!	AP009436	
B4c1c1	AP008425	AP008450
B4c2	GU810059	AY289101
B4c2a	AF347011	AY289100
B4c2b	GU592219	AP012407
B4c2c	GU592216	GU592217
B4f	JQ703514	AP008788
B4f1	AP013140	AP008262
B5a1a	EU597566	GU810057
B5a1a1	AY950286	AY950290
B5a1b	AY255145	
B5a1b1	KC505067	GQ119031
B5a1c	KF540745	
B5a1c1	KF540703	
B5a1c1a	JQ731598	JQ731601
B5a1c1a1	JF896801	HG00418
B5a1c2	KF849949	JQ731600
B5a1d	GU810075	HM596698
B5a2	HG00543	
B5a2a1a	EF114286	KF849923
B5a2a1_G16129A	JQ731602	
B5a2a1b	AP008263	AP008451
B5a2a2a1	DQ372869	KF540936
B5a2a2a2	KF540943	KF540901
B5a2a2b1	KC994087	
B5a2a2b1a	KF540623	KF540613
B5a2a2b2	KF540807	KF540825
B5b1	AP010771	AP008284
B5b1a	JF824930	
B5b1a1	AP008827	AP008631
B5b1a2	AP008273	AP008288
B5b1a2a	AP008518	AP008875
B5b1c	KC994070	GQ119020
B5b1c1	KC994143	
B5b1c1a	KC994058	KC994128
B5b2a	AY519489	
B5b2a1	AP008546	AP008847
B5b2a2	AP009425	AP008371
B5b2a2a1	AP008910	AP008403
B5b2a2a2	KJ154763	GQ119041
B5b2b	KF148463	KF148089
B5b2_C204T	GU377081	
B5b2c	KF540720	
B5b2c1	AP008465	HG00404
B5b3a	AP013282	AP008566
B5b3b	AP010761	AP013129
B5b4	KF849981	JN857015
B5b5	KF540694	NA18704
R24	GU733726	
R24a	GQ119037	GQ119033
R12	DQ112752	
R21	AP012392	AP012370
R14	EF495216	
R22	GQ301886	GQ301863
R23	GQ301864	
R30	AY714006	
R30a	JX462702	
R30a1a	AY714001	FJ770961
R30a1b	AY714032	
R30a1b1	GU170818	JX462715
R30a1c	FJ004824	KC911324
R30b1	FJ004827	AY714047
R30b2	FJ004807	
R30b2a	EF556148	JX462737
R31a	AY714021	JQ705959
R31a1	FJ004825	FJ004826
R31b	AY714046	AY714048
R32	KC577355	
P1d1	AY289087	
P1d1a	KJ154317	EU597507
P1d2	KJ154684	
P1d2a	KJ154767	KJ154172
P1_T152C!	KJ154805	
P1f	KJ154904	KJ154181
P2	DQ112897	AY289088
P10	KC993994	GQ119036
P8	DQ404446	
P3a	AY289052	AY289065
P3b	AY289091	
P3b1	EF061153	EF061154
P4a	EF061158	EF061159
P4a1	EF495221	EF061156
P4b	AY289064	
P4b1	DQ404444	AY289057
P5	AY289063	
P6	AY289053	AY289055
P7	AY289054	
P9	KC993944	
P9a	GQ119026	KC993934
U1a1	HM852790	
U1a1a	GU218692	
U1a1a1	HQ615882	
U1a1a1a	KC477757	KC911328
U1a1a2	JQ703793	JX289842
U1a1a_G16129A!	AY882396	
U1a1a3	JQ705601	KC911502
U1a1b	JQ704153	EF556157
U1a1c	JX153116	
U1a1c1a	FJ748753	AY714038
U1a1c1b	JQ704034	NA20826
U1a1c1c	KC911365	
U1a1c1c1	DQ523621	DQ523634
U1a1c1d	KC911457	
U1a1c1d1	KC911527	KC911306
U1a1d	EF692533	HM241417
U1a2	EF556194	HM852789
U1a3	KC540656	HM852844
U1b1	JQ705704	HQ325737
U1b2	KC911628	GU123007
U1b3	AY882397	JQ705292
U5	KC521458	
U5a1	GU296570	FJ348174
U5a1a1	EU523128	DQ785296
U5a1a1_T152C	GU296601	GU296636
U5a1a1a	DQ904330	GU296558
U5a1a1b	JQ703937	GU296652
U5a1a1h	GQ368895	JX153217
U5a1a1c	JQ703590	JQ704022
U5a1a1_T16362C	JQ704920	
U5a1a1d	GU459066	GQ160809
U5a1a1d1	JQ701866	KC257387
U5a1a1e	JQ705621	JQ704796
U5a1a1g	JQ705243	HG00145
U5a1a1i	JQ582984	JX153282
U5a1a2a	GU296557	HQ588904
U5a1a2a1	JQ703926	JX153678
U5a1a2a1a	JQ702568	KC602499
U5a1a2b	JQ704701	GU296543
U5a1a2b1	JQ705279	JQ702496
U5a1g	GU296640	HM765468
U5a1g1	JQ702913	JN412063
U5a1g2	KC911409	KC911325
U5a1b	JX141361	JX153668
U5a1b1	JQ702775	JN982470
U5a1b1a	JQ703963	JQ691414
U5a1b1a1	JQ705245	JQ706015
U5a1b1a2	NA12814	JQ703074
U5a1b1b	GU296614	
U5a1b1b1	GU296619	GU296649
U5a1b1c	EU140330	GU296610
U5a1b1c1	JQ705297	FJ493508
U5a1b1c2	JQ704028	GU296628
U5a1b1d	JQ702400	
U5a1b1d_T16093C	JX152788	
U5a1b1d1	JQ705693	JX153853
U5a1b1e	JX153770	JQ704679
U5a1b1f	AY714003	JQ702552
U5a1b1g	JN809915	HG00104
U5a1b1h	JX153227	JX153196
U5a1b2	GU296562	GU296569
U5a1b_T16362C	JQ704045	
U5a1b3	JQ703331	GU296592
U5a1b3a	JQ705935	
U5a1b3a1	JQ705101	JX153622
U5a1b4	HM171295	KC257373
U5a1c1	GU296588	GU296617
U5a1c1a	JX297176	JQ705573
U5a1c2	GU296589	
U5a1c2a	JQ704555	
U5a1c2a1	JQ705908	JX153340
U5a1d1	GU296542	GU296612
U5a1d2a	HM173090	JQ704700
U5a1d2a1	GU296655	GU296599
U5a1d2b	GU123032	JQ705737
U5a1e	GU296547	GU296625
U5a1f1	JQ702160	DQ112764
U5a1f1a	AY882398	JQ704962
U5a1f1a1	JQ702735	JQ702225
U5a1f2	GU296603	KF921965
U5a1h	JQ704026	JQ705910
U5a1i	KC257306	
U5a1i1	JQ705326	KC569552
U5a1j	KF647698	KF262460
U5a2_C16294T	JX153018	JQ702310
U5a2a	JN707685	
U5a2a1	GU296615	JQ703936
U5a2a1a	AY339524	JX153215
U5a2a1b	GU296626	HM246245
U5a2a1b1	JQ702355	HM765474
U5a2a1c	GU296597	GU296650
U5a2a1d	EU124886	JQ703988
U5a2a1_T152C!	JQ704074	JQ703335
U5a2a1e	AY339527	JX171113
U5a2a2	JQ705530	
U5a2a2a	JX153225	JX153731
U5a2b	GU296559	GU371930
U5a2b1	GU296624	JQ702746
U5a2b1a	JQ705696	GU296651
U5a2b1b	JQ704044	GU296607
U5a2b1c	GU296629	GU296600
U5a2b1d	JQ703087	GU296656
U5a2b2	KC246057	
U5a2b2a	JQ702184	
U5a2b2a1	GU296587	GU296646
U5a2b3	KC661077	
U5a2b3a	JQ702847	JX153580
U5a2b3a1	JQ702230	JN899603
U5a2b4	JQ702320	
U5a2b4a	KC146708	JX153863
U5a2b5	NA20760	EU597544
U5a2c	JQ703187	GU012633
U5a2c1	FJ460558	EU151864
U5a2c2	JQ704067	EF660950
U5a2c3	JX101637	
U5a2c3a	JF487827	EU049814
U5a2c4	JQ705779	GU296611
U5a2d	JQ703280	JQ702144
U5a2d1	HM490393	
U5a2d1a	JN604831	JX153171
U5a2_T16362C	JQ705111	
U5a2e	JN819535	GU296648
U5b1	JQ704112	
U5b1a	KC521455	JN544933
U5b1_T16189C!	EF420876	
U5b1b	GU296644	
U5b1b1	GU296566	
U5b1b1_T16192C	JN897374	AY882400
U5b1b1a	AY882403	JQ702837
U5b1b1a1	DQ902696	AY882404
U5b1b1a1a	HM116534	GU296598
U5b1b1a1a1	KF466256	KF631316
U5b1b1a1b	JQ703600	JX153265
U5b1b1a2	EF420877	JX171119
U5b1b1a3	JX153170	AY882406
U5b1b1d	AY882402	AY882401
U5b1b1f	GU296591	JQ705418
U5b1b1b	AY882407	DQ282508
U5b1b1_T152C!	AF381989	
U5b1b1e	JQ704517	AY882408
U5b1b1g	KC479033	
U5b1b1g1	KP688570	
U5b1b1g1a	KP835772	HM046248
U5b1b2	AY339536	JQ705105
U5b1b2a	HG00357	HG00274
U5b1b2b	JX152982	JX153220
U5b1c	AY882409	
U5b1c1	JQ705870	
U5b1c1a	JQ408439	
U5b1c1a1	JQ705095	JX297153
U5b1c2	JQ703983	DQ661681
U5b1c2a	EU597535	JQ703944
U5b1c2b	JQ704043	JQ705473
U5b1_T16189C!_T16192C!	GU296582	JQ702743
U5b1e	JX677560	
U5b1e1	KC257380	FJ493517
U5b1e1a	FJ499497	GU296571
U5b1h	JQ705183	JQ704053
U5b1d1	JQ702807	
U5b1d1a	JQ702376	AY882412
U5b1d1b	AY882411	JX156641
U5b1d1c	GU977214	HQ287878
U5b1d2	HM043711	JF436855
U5b1f1	HQ675036	
U5b1f1a	JX297131	JX286537
U5b1g	HQ384206	HQ675038
U5b1i	JQ681270	DQ523645
U5b2	JQ705429	
U5b2a1a	JQ703964	
U5b2a1a_T16311C	JQ704726	
U5b2a1a1	GQ853200	GU296568
U5b2a1a1a	JQ701915	JQ702021
U5b2a1a1b	EU784076	JQ703942
U5b2a1a1d	EU244000	HG00284
U5b2a1a2	GU296621	AY882413
U5b2a1b	EU182656	FJ887848
U5b2a2	GU296541	
U5b2a2a	JQ705158	
U5b2a2a1	AY882415	GU296552
U5b2a2a2	JQ702167	DQ112820
U5b2a2b	EF459670	JN969984
U5b2a2b1	GU296567	HM130562
U5b2a2c	JQ702431	JQ705688
U5b2a3	EU682506	EF420249
U5b2a3a	JX153147	NA20517
U5b2a4	JQ705337	
U5b2a4a	JQ705419	JQ705298
U5b2a5	EU233797	JQ290366
U5b2a5a	JX152979	JX153565
U5b2a6	JQ704771	JX154045
U5b2b	JQ706019	
U5b2b1a1	KC337071	JQ703741
U5b2b1a2	GU296627	JQ703780
U5b2b1b	GU296641	JQ702927
U5b2b2	EF419891	GQ132188
U5b2b3	JF812598	
U5b2b3a	JQ702843	
U5b2b3a1	JQ702046	
U5b2b3a1a	JQ703790	FJ916904
U5b2b3b	KC851802	JQ702136
U5b2b4	JQ702585	JQ702531
U5b2b4a	JQ705877	JQ702209
U5b2b5	JX153076	JQ704572
U5b2c	KC847158	
U5b2c1	JX186998	JQ702406
U5b2c2	JF265240	
U5b2c2a	JQ705947	JQ702625
U5b2c2b	EU490797	JQ703980
U5b3	JQ705968	GQ129144
U5b3a1a	AF346988	GQ129152
U5b3a1b	GQ129157	GQ129158
U5b3a2	GQ129163	GQ129164
U5b3b	JQ704971	GQ129168
U5b3b1	GQ129167	GQ129165
U5b3b2	JX153697	JQ703971
U5b3c	GQ129170	GQ129172
U5b3d	GQ129173	GQ129174
U5b3e	JQ702295	GQ129177
U5b3f	GQ129179	GQ129180
U5b3g	GQ129143	JQ689453
U5b3h	JX153636	JN315868
U6a	EF064317	
U6a1	HQ651694	
U6a1a1	JX120710	HQ651688
U6a1a2	JQ704749	JQ704539
U6a1b1a	HQ651685	EF064321
U6a1b1b	HQ651693	JX120712
U6a1b2	JQ702816	HQ651696
U6a1b3	HQ651705	JX120709
U6a1b4	EF064320	JX153033
U6a_T16189C!	HQ651707	
U6a2	EF064322	
U6a2a1	JX120713	EF064323
U6a2a2	KC152576	
U6a2a2a	AY882416	JX120776
U6a2b	JX120716	
U6a2b1	KC152589	JX120714
U6a2_T195C!	KC152590	
U6a2c	KC152569	HQ651702
U6a8a	KC152541	KC152552
U6a8b	JQ629405	KC152578
U6a3	HQ651714	
U6a3a	HQ651713	
U6a3a1	HQ651686	JQ704800
U6a3a1a	HQ585390	KC152538
U6a3a2	KC152549	
U6a3a2a	JX120708	JQ704099
U6a3b	HQ651704	HQ651699
U6a3b1	HQ651697	HQ651703
U6a3e	JX120720	EF064326
U6a3f1	EF064324	KC152584
U6a3f2	KC152585	JQ044807
U6a3c	JX120769	JX120718
U6a3d1a	HQ651711	KC152574
U6a4	EF064327	EF064328
U6a5	JQ703902	EF064329
U6a5a	EF064330	
U6a5a1	HQ592783	KC152553
U6a5b	JX120722	JX120723
U6a5c	EF064332	JX153008
U6a6a	KC152565	
U6a6a1	JX120726	KC152562
U6a6b1	KC152559	JX120724
U6a6b2	EF064334	EF064333
U6a7a1	AY275531	FJ979865
U6a7a1a	GU967378	JX120766
U6a7a1b	EF064337	JX120757
U6a7a1_C152T!!	EF064335	
U6a7a1c	HQ843176	EF064338
U6a7a2	JX120730	
U6a7a2a	JX120762	JX120728
U6a7b	KC152555	
U6a7b1	EF064339	JX120731
U6a7c	JQ702118	
U6a7c1	KC152547	JX120765
U6b	JX120738	AY275530
U6b1a	HQ651678	JQ704896
U6b1a1	AY275528	EF064340
U6b1b	KC152548	KC152567
U6b2	JQ704008	AY275527
U6b3	JX120734	
U6b3a	JX120735	FJ460538
U6d	JX120741	
U6d1	HQ651684	
U6d1a	GU366066	DQ523663
U6d1b	EF064342	EF064341
U6d2	KC152592	EF064343
U6d3	JX120743	
U6d3a	HQ651681	NA19652
U6c1	HQ161773	EF064344
U6c2	KC152568	HM775494
U2	FN600416	
U2a1a	JX488759	AY882379
U2a1b	AY713992	DQ112816
U2a2	KF056257	KC533515
U2b1	HM156690	EU330890
U2b1a	AY714020	KF056258
U2b2	AY714027	AY882380
U2c	AY714010	
U2c1	KC533505	JX984460
U2c1a	AY714005	HM036565
U2c1b	AY882381	HM036556
U2d1	JQ706062	EU440736
U2d2	JQ705999	
U2d2a	JQ706046	KC911405
U2d3	JQ706045	JQ706025
U2e	AY714026	
U2e1	JQ703356	FJ147311
U2e1a	FJ828532	
U2e1a1	AY882382	JQ703957
U2e1a1a	JQ705936	JQ705117
U2e1a1b	HQ424846	JQ703203
U2e1a1c	JQ704817	FJ348194
U2e1b	AY714049	JQ705941
U2e1b1	JQ702663	JQ703917
U2e1b2	JQ705946	EF661006
U2e1c	KF142160	
U2e1c1	JQ705933	JQ701857
U2e1d	JQ702520	JQ704268
U2e1e	JQ702316	EF452294
U2e1f	JQ705813	
U2e1f1	AY195764	NA12347
U2e1g	JQ703491	KC464359
U2e1h	FJ493504	KF849954
U2e2	KC911567	
U2e2a	JX462708	JQ705900
U2e2a1a	JQ703968	JX153832
U2e2a1a1	JX154009	JQ702432
U2e2a1a2	JQ705667	JX153656
U2e2a1b	FJ984932	EF528162
U2e2a1c	JQ705386	JQ704627
U2e2a1d	JQ702004	JQ701890
U2e3	JX286498	
U2e3a	JQ704102	JQ702389
U3a	HM852891	
